openalex_id,query_label
https://openalex.org/W1973954730,snowball_Hornborg_2001
https://openalex.org/W1974479080,snowball_Hornborg_2001
https://openalex.org/W1974600276,snowball_Hornborg_2001
https://openalex.org/W1974715189,snowball_Borup_2006
https://openalex.org/W1974736057,snowball_Mol_2000
https://openalex.org/W1975641572,Q1b_tech_specific
https://openalex.org/W1975641572,S1_econ_complexity
https://openalex.org/W1976128508,S1_econ_complexity
https://openalex.org/W1976255974,snowball_Mol_2000
https://openalex.org/W1976323772,snowball_Borup_2006
https://openalex.org/W1976529177,snowball_Borup_2006
https://openalex.org/W1976854836,snowball_Schnaiberg_1980
https://openalex.org/W1977274064,snowball_Mol_2000
https://openalex.org/W1977685850,snowball_Borup_2006
https://openalex.org/W1978091839,snowball_Mol_2000
https://openalex.org/W1978274280,snowball_Jorgenson_2012
https://openalex.org/W1978274280,snowball_Schnaiberg_1980
https://openalex.org/W1978300657,snowball_Hornborg_2001
https://openalex.org/W1978764651,S4_climate_movements
https://openalex.org/W1978890989,Q1_tech_material
https://openalex.org/W1978964746,snowball_York_2003
https://openalex.org/W1979739432,snowball_York_2003
https://openalex.org/W1979767694,snowball_Borup_2006
https://openalex.org/W1979780488,snowball_Schnaiberg_1980
https://openalex.org/W1980137968,snowball_York_2003
https://openalex.org/W1980644511,snowball_Borup_2006
https://openalex.org/W1981310173,snowball_Borup_2006
https://openalex.org/W1982882586,snowball_Schnaiberg_1980
https://openalex.org/W1983476777,Q1_tech_material
https://openalex.org/W1983784355,snowball_Schnaiberg_1980
https://openalex.org/W1985920379,snowball_Schnaiberg_1980
https://openalex.org/W1985923786,snowball_Borup_2006
https://openalex.org/W1985981874,S1_econ_complexity
https://openalex.org/W1986330013,snowball_Borup_2006
https://openalex.org/W1986470012,snowball_Mol_2000
https://openalex.org/W1986555859,S5_circular_policy
https://openalex.org/W1987364429,snowball_Schnaiberg_1980
https://openalex.org/W1987912158,S4_climate_movements
https://openalex.org/W1988031510,snowball_York_2003
https://openalex.org/W1988663313,snowball_Mol_2000
https://openalex.org/W1988663313,snowball_Schnaiberg_1980
https://openalex.org/W1988805390,snowball_York_2003
https://openalex.org/W1989078516,snowball_Borup_2006
https://openalex.org/W1989104954,Q1b_tech_specific
https://openalex.org/W1989104954,S1_econ_complexity
https://openalex.org/W1989302845,S4_climate_movements
https://openalex.org/W1989356887,snowball_Hornborg_2001
https://openalex.org/W1989599834,snowball_Schnaiberg_1980
https://openalex.org/W1990013403,snowball_Schnaiberg_1980
https://openalex.org/W1990050506,snowball_Mol_2000
https://openalex.org/W1990164247,snowball_Schnaiberg_1980
https://openalex.org/W1990294463,snowball_Borup_2006
https://openalex.org/W1990620179,snowball_Jorgenson_2012
https://openalex.org/W1990723208,snowball_Hornborg_2001
https://openalex.org/W1990755229,snowball_York_2003
https://openalex.org/W1991106646,snowball_Schnaiberg_1980
https://openalex.org/W1991265106,snowball_Borup_2006
https://openalex.org/W1991460461,snowball_Schnaiberg_1980
https://openalex.org/W1991588025,snowball_Mol_2000
https://openalex.org/W1991677530,snowball_Schnaiberg_1980
https://openalex.org/W1991754589,snowball_Hornborg_2001
https://openalex.org/W1992277548,S1_econ_complexity
https://openalex.org/W1992491225,snowball_York_2003
https://openalex.org/W1992505849,S1_econ_complexity
https://openalex.org/W1993152396,snowball_Mol_2000
https://openalex.org/W1993152396,snowball_York_2003
https://openalex.org/W1993257909,snowball_York_2003
https://openalex.org/W1993258255,snowball_Schnaiberg_1980
https://openalex.org/W1993600310,snowball_Hornborg_2001
https://openalex.org/W1993600310,snowball_Jorgenson_2012
https://openalex.org/W1993600310,snowball_York_2003
https://openalex.org/W1993909509,S1_econ_complexity
https://openalex.org/W1994001800,snowball_Mol_2000
https://openalex.org/W1994299473,snowball_York_2003
https://openalex.org/W1994414501,S1_econ_complexity
https://openalex.org/W1994950990,snowball_Mol_2000
https://openalex.org/W1995182034,snowball_Borup_2006
https://openalex.org/W1995701627,snowball_Schnaiberg_1980
https://openalex.org/W1996209627,snowball_Hornborg_2001
https://openalex.org/W1996223957,S6_stirpat
https://openalex.org/W1996223957,snowball_Jorgenson_2012
https://openalex.org/W1996406096,S1_econ_complexity
https://openalex.org/W1996537770,S1_econ_complexity
https://openalex.org/W1996610034,snowball_Hornborg_2001
https://openalex.org/W1996722365,snowball_Schnaiberg_1980
https://openalex.org/W1996900403,snowball_Schnaiberg_1980
https://openalex.org/W1996900403,snowball_York_2003
https://openalex.org/W1998832896,snowball_Schnaiberg_1980
https://openalex.org/W1999845056,snowball_Hornborg_2001
https://openalex.org/W2000029192,snowball_Jorgenson_2012
https://openalex.org/W2000568622,snowball_York_2003
https://openalex.org/W2000842239,snowball_Borup_2006
https://openalex.org/W2001094287,snowball_Schnaiberg_1980
https://openalex.org/W2001673222,S6_stirpat
https://openalex.org/W2001673222,snowball_Jorgenson_2012
https://openalex.org/W2002556455,snowball_Schnaiberg_1980
https://openalex.org/W2002625442,snowball_Schnaiberg_1980
https://openalex.org/W2002625442,snowball_York_2003
https://openalex.org/W2002629377,S1_econ_complexity
https://openalex.org/W2002632968,snowball_Hornborg_2001
https://openalex.org/W2002670651,snowball_Jorgenson_2012
https://openalex.org/W2002965195,snowball_Schnaiberg_1980
https://openalex.org/W2003767156,S4_climate_movements
https://openalex.org/W2004779022,snowball_Borup_2006
https://openalex.org/W2005303196,snowball_York_2003
https://openalex.org/W2005525239,snowball_Schnaiberg_1980
https://openalex.org/W2005532901,snowball_Mol_2000
https://openalex.org/W2005532901,snowball_York_2003
https://openalex.org/W2005542860,snowball_Mol_2000
https://openalex.org/W2006081504,snowball_Hornborg_2001
https://openalex.org/W2006427645,snowball_Borup_2006
https://openalex.org/W2006713007,Q1_tech_material
https://openalex.org/W2007258741,S1_econ_complexity
https://openalex.org/W2007271211,Q1_tech_material
https://openalex.org/W2007810001,snowball_York_2003
https://openalex.org/W2007835124,snowball_York_2003
https://openalex.org/W2007981205,snowball_Mol_2000
