rank,openalex_id,title,year,journal,cited_by_count,internal_citations,total_score,citation_score,pillar_score,internal_score,seed_proximity,journal_bonus,n_pillars,pillars
91,https://openalex.org/W2062460723,Ecological Modernization or Aristocratic Conservation? Exploring the Impact of Affluence on Carbon Emissions at the Local Level,2014,Society & Natural Resources,28,11,0.432,0.415,0.667,0.417,0.3,0.0,2,affluence_confound;ecological_modernisation
92,https://openalex.org/W2029780813,Environmental Innovation and Sustainability Transitions in Regional Studies,2012,Regional Studies,577,14,0.4317,0.784,0.333,0.454,0.3,0.0,1,technology_indicators
93,https://openalex.org/W2781022301,Reducing energy demand through low carbon innovation: A sociotechnical transitions perspective and thirteen research debates,2017,Energy Research & Social Science,305,16,0.4313,0.705,0.333,0.475,0.3,0.15,1,technology_indicators
94,https://openalex.org/W1844076669,A Robust Indicator for Promoting Circular Economy through Recycling,2015,Journal of Environmental Protection,310,4,0.4307,0.707,0.667,0.27,0.0,0.0,2,tech_material;technology_indicators
95,https://openalex.org/W1973954730,"Ecologically Unequal Exchange, Ecological Debt, and Climate Justice",2009,International Journal of Comparative Sociology,206,36,0.4303,0.657,0.333,0.605,0.3,0.0,1,displacement
96,https://openalex.org/W2564485785,"Green Devaluation: Disruption, Divestment, and Decommodification for a Green Economy",2016,Capitalism Nature Socialism,70,4,0.4303,0.525,0.667,0.27,0.3,0.0,2,ecological_modernisation;technology_indicators
97,https://openalex.org/W2279795386,Structural Dynamics of International Trade and Material Consumption: A Cross-National Study of the Ecological Footprints of Less-Developed Countries,2005,Journal of World-Systems Research,116,38,0.4295,0.587,0.333,0.614,0.3,0.15,1,tech_material
98,https://openalex.org/W1978300657,The Thermodynamics of Unequal Exchange,2009,International Journal of Comparative Sociology,28,10,0.4291,0.415,0.667,0.402,0.3,0.0,2,displacement;tech_material
99,https://openalex.org/W2903385015,The Next Generation of Sustainable Food Packaging to Preserve Our Environment in a Circular Economy Context,2018,Frontiers in Nutrition,509,2,0.4289,0.768,0.667,0.184,0.0,0.0,2,tech_material;technology_indicators
100,https://openalex.org/W2142043891,"Ecological Unequal Exchange: Consumption, Equity, and Unsustainable Structural Relationships within the Global Economy",2007,International Journal of Comparative Sociology,172,40,0.4282,0.635,0.333,0.622,0.3,0.0,1,displacement
101,https://openalex.org/W1975641572,Confronting the Environmental Kuznets Curve,2002,The Journal of Economic Perspectives,1708,18,0.428,0.917,0.333,0.494,0.0,0.0,1,ecological_modernisation
102,https://openalex.org/W1803117247,The Drama of the Commons,2002,National Academies Press eBooks,1131,6,0.4268,0.866,0.333,0.326,0.3,0.0,1,tech_material
103,https://openalex.org/W3035967785,"A Critical Review of Academic Approaches, Methods and Tools to Assess Circular Economy at the Micro Level",2020,Sustainability,186,6,0.4264,0.645,0.667,0.326,0.0,0.0,2,ecological_modernisation;tech_material
104,https://openalex.org/W4401394163,International Trade Reshapes the Decoupling of Emissions from Economic Growth,2024,Environmental Science & Technology,13,0,0.4263,0.325,1.0,0.0,0.3,0.0,3,affluence_confound;tech_material;technology_indicators
105,https://openalex.org/W2151785299,Does urbanization lead to less energy use and lower CO2 emissions? A cross-country analysis,2010,Ecological Economics,1227,78,0.4256,0.876,0.0,0.732,0.3,0.15,0,
106,https://openalex.org/W2089188580,"Militarization and the Environment: A Panel Study of Carbon Dioxide Emissions and the Ecological Footprints of Nations, 1970–2000",2010,Global Environmental Politics,176,34,0.4236,0.638,0.333,0.596,0.3,0.0,1,ecological_modernisation
107,https://openalex.org/W2980566250,The environmental state and the glass ceiling of transformation,2019,Environmental Politics,169,22,0.4233,0.633,0.333,0.526,0.3,0.15,1,tech_material
108,https://openalex.org/W2992398751,Uneven Decoupling,2019,Sociology of Development,19,12,0.4233,0.369,0.667,0.43,0.3,0.0,2,ecological_modernisation;tech_material
109,https://openalex.org/W3198497505,A Framework and Baseline for the Integration of a Sustainable Circular Economy in Offshore Wind,2021,Energies,71,3,0.4232,0.527,0.667,0.232,0.3,0.0,2,tech_material;technology_indicators
110,https://openalex.org/W2130464127,The Planetary Rift and the New Human Exemptionalism,2012,Organization & Environment,117,30,0.4221,0.588,0.333,0.576,0.3,0.15,1,ecological_modernisation
111,https://openalex.org/W2536894378,Decoupling economic growth from carbon dioxide emissions in China: A sectoral factor decomposition analysis,2016,Journal of Cleaner Production,257,14,0.4218,0.684,0.333,0.454,0.3,0.15,1,tech_material
112,https://openalex.org/W3119646565,EU industrial policy: Between modernization and transformation of the automotive industry,2021,Environmental Innovation and Societal Transitions,116,5,0.4217,0.587,0.667,0.3,0.0,0.15,2,ecological_modernisation;technology_indicators
113,https://openalex.org/W2020743501,Sustainable development as symbolic commitment: Declaratory politics and the seductive appeal of ecological modernisation in the European Union,2007,Environmental Politics,211,16,0.42,0.66,0.333,0.475,0.3,0.15,1,ecological_modernisation
114,https://openalex.org/W2943950764,On the Circular Bioeconomy and Decoupling: Implications for Sustainable Growth,2019,Ecological Economics,352,38,0.4185,0.723,0.333,0.614,0.0,0.15,1,tech_material
115,https://openalex.org/W3187949645,Decent living gaps and energy needs around the world,2021,Environmental Research Letters,144,22,0.4184,0.613,0.333,0.526,0.3,0.15,1,affluence_confound
116,https://openalex.org/W2997780508,"A Tool to Analyze, Ideate and Develop Circular Innovation Ecosystems",2020,Sustainability,204,4,0.4179,0.656,0.667,0.27,0.0,0.0,2,tech_material;technology_indicators
117,https://openalex.org/W4223520720,"National responsibility for ecological breakdown: a fair-shares assessment of resource use, 1970–2017",2022,The Lancet Planetary Health,197,25,0.4171,0.652,0.333,0.546,0.3,0.0,1,tech_material
118,https://openalex.org/W3209991058,Environmental impacts of household goods in Europe: a process-based life cycle assessment model to assess consumption footprint,2021,The International Journal of Life Cycle Assessment,20,1,0.417,0.375,1.0,0.116,0.0,0.0,3,affluence_confound;tech_material;technology_indicators
119,https://openalex.org/W2601697486,Core tenets of the theory of ecologically unequal exchange,2016,Journal of Political Ecology,26,4,0.4155,0.406,0.667,0.27,0.3,0.15,2,displacement;ecological_modernisation
120,https://openalex.org/W2005532901,Adapting ecological modernisation to the Australian context,2009,Journal of Integrative Environmental Sciences,34,5,0.4146,0.438,0.667,0.3,0.3,0.0,2,ecological_modernisation;technology_indicators
121,https://openalex.org/W2040836015,Treadmills of Production and Destruction,2005,Organization & Environment,110,25,0.4143,0.58,0.333,0.546,0.3,0.15,1,ecological_modernisation
122,https://openalex.org/W2087385946,"Fueling Injustice: Globalization, Ecologically Unequal Exchange and Climate Change",2007,Globalizations,130,34,0.4143,0.601,0.333,0.596,0.3,0.0,1,displacement
123,https://openalex.org/W3174179289,Hype cycles during socio-technical transitions: The dynamics of collective expectations about renewable energy in Germany,2021,Research Policy,53,3,0.4143,0.491,0.667,0.232,0.3,0.0,2,sociology_expectations;technology_indicators
124,https://openalex.org/W4280504305,"Global maize production, consumption and trade: trends and R&amp;D implications",2022,Food Security,1044,0,0.4141,0.857,0.667,0.0,0.0,0.0,2,displacement;technology_indicators
125,https://openalex.org/W4395072665,"Reconsidering the Long-Term Impacts of Digitalization, Industrialization, and Financial Development on Environmental Sustainability in GCC Countries",2024,Sustainability,18,1,0.4139,0.363,1.0,0.116,0.0,0.0,3,affluence_confound;ecological_modernisation;technology_indicators
126,https://openalex.org/W2537972263,Human centred science and technology—transdisciplinary foresight and co-creation as tools for active needs-based innovation governance,2016,European Journal of Futures Research,52,3,0.4138,0.489,0.667,0.232,0.3,0.0,2,ecological_modernisation;technology_indicators
127,https://openalex.org/W3148657662,Researching for Desirable Futures: From Real Utopias to Imagining Alternatives,2021,Journal of Management Studies,226,3,0.4136,0.668,0.667,0.232,0.0,0.0,2,ecological_modernisation;technology_indicators
128,https://openalex.org/W2089110760,What happens after a hype? How changing expectations affected innovation activities in the case of stationary fuel cells,2010,Technology Analysis and Strategic Management,160,27,0.4132,0.626,0.333,0.559,0.3,0.0,1,technology_indicators
129,https://openalex.org/W3173126492,Explaining events of strong decoupling from CO2 and NOx emissions in the OECD 1994–2016,2021,The Science of The Total Environment,38,4,0.4118,0.451,0.667,0.27,0.3,0.0,2,tech_material;technology_indicators
130,https://openalex.org/W2112433673,Closing the “Great Divide”: New Social Theory on Society and Nature,2000,Annual Review of Sociology,187,13,0.4098,0.645,0.333,0.442,0.3,0.15,1,technology_indicators
131,https://openalex.org/W2148645770,From Additions and Withdrawals to Environmental Flows,2005,Organization & Environment,89,26,0.4091,0.554,0.333,0.552,0.3,0.15,1,ecological_modernisation
132,https://openalex.org/W2044354924,Networks and network resources in technological innovation systems: Towards a conceptual framework for system building,2012,Technological Forecasting and Social Change,284,8,0.4078,0.696,0.333,0.368,0.3,0.15,1,technology_indicators
133,https://openalex.org/W3208421842,Evidence of decoupling consumption-based CO2 emissions from economic growth,2021,Advances in Applied Energy,151,24,0.4076,0.619,0.333,0.54,0.3,0.0,1,tech_material
134,https://openalex.org/W2789690499,Natural capital must be defended: green growth as neoliberal biopolitics,2018,The Journal of Peasant Studies,91,1,0.4075,0.557,0.667,0.116,0.3,0.0,2,ecological_modernisation;tech_material
